player_id,pagerank,degree_centrality,avg_rating
a-00,3.3208270192871235e-05,0.00019833399444664816,1337.6666666666667
bourgris,4.2697287459014574e-05,6.611133148221606e-05,1500.0
skinnerua,4.2697287459014574e-05,6.611133148221606e-05,1261.0
ischia,4.2697287459014574e-05,6.611133148221606e-05,1496.0
adivanov2009,3.3208270192871235e-05,0.0001322226629644321,1461.5
daniamurashov,8.42390462132105e-05,0.0001322226629644321,1405.4
nik221107,4.7441796092086237e-05,0.0001322226629644321,1524.0
daniel_likes_chess,0.00014540233597462636,0.0005288906518577285,1391.625
capa_jr,5.801469534715497e-05,6.611133148221606e-05,1520.0
soultego,5.801469534715497e-05,0.0002644453259288642,2108.0
ehabfanri,3.3208270192871235e-05,6.611133148221606e-05,1439.0
mirco25,6.440908456556757e-05,0.0001322226629644321,1236.3333333333333
anaissac,3.3208270192871235e-05,6.611133148221606e-05,1272.0
subham777,5.801469534715497e-05,6.611133148221606e-05,1867.0
roman12342005,0.00036821573742483097,0.0014544492926087532,1948.3333333333333
alkhan,5.801469534715497e-05,6.611133148221606e-05,1607.0
sureka_akshat,4.075245746790731e-05,0.0001322226629644321,1156.6
shivangithegenius,0.000251763897178037,0.0019833399444664818,1026.820512820513
slam_ment,4.075245746790731e-05,6.611133148221606e-05,1300.0
g-ios,4.075245746790731e-05,6.611133148221606e-05,1500.0
lex_v1,4.075245746790731e-05,6.611133148221606e-05,1676.0
themannichreaction,3.3208270192871235e-05,6.611133148221606e-05,1068.0
storm28rus,4.075245746790731e-05,0.0001322226629644321,1500.0
robotsmoke,9.349383577477536e-05,0.00019833399444664816,1269.0
ivangonzalez123,4.075245746790731e-05,6.611133148221606e-05,1423.0
gmcarlsen403,4.075245746790731e-05,6.611133148221606e-05,1825.0
mannat1,3.3208270192871235e-05,6.611133148221606e-05,1328.0
biyanivedant01,4.075245746790731e-05,0.0001322226629644321,1257.0
chinmaysharma,4.075245746790731e-05,6.611133148221606e-05,1148.0
rv0209,3.3208270192871235e-05,6.611133148221606e-05,1200.0
vihaandumir,4.075245746790731e-05,6.611133148221606e-05,1203.0
shamlanaseer,4.075245746790731e-05,6.611133148221606e-05,1500.0
medovich,4.075245746790731e-05,6.611133148221606e-05,1422.0
sorethea,9.976195897625856e-05,0.0002644453259288642,1824.25
rico21,4.075245746790731e-05,6.611133148221606e-05,1569.0
jojo58,7.570505248836917e-05,0.0001322226629644321,1500.0
rajuppi,0.00017524059805438985,0.0004627793203755124,2443.25
milestretch,3.3208270192871235e-05,6.611133148221606e-05,1241.0
stephen789,4.075245746790731e-05,0.0001322226629644321,1500.0
hmbrgr,4.075245746790731e-05,6.611133148221606e-05,1500.0
jjwrchess,4.8296644742943374e-05,6.611133148221606e-05,1500.0
adnanraj,4.075245746790731e-05,6.611133148221606e-05,1343.0
balkarec,4.075245746790731e-05,6.611133148221606e-05,1500.0
lucasimeon,4.075245746790731e-05,0.0001322226629644321,1500.0
gerfsh,3.3208270192871235e-05,0.0001322226629644321,1331.0
wing175,4.7441796092086237e-05,6.611133148221606e-05,1521.0
caramiecho72,4.7441796092086237e-05,6.611133148221606e-05,1407.0
wpc96,6.167532199130125e-05,0.0002644453259288642,1455.75
mazyaraghgmail,6.662251411780605e-05,0.0001322226629644321,1488.0
anrk,3.3208270192871235e-05,6.611133148221606e-05,1414.0
tbaruel,5.055590595708254e-05,6.611133148221606e-05,1294.0
acahn,5.957359852808634e-05,0.0001322226629644321,1461.0
iskendermyucel,3.3208270192871235e-05,0.0001322226629644321,1195.5
oldpaths,0.00063101028214835,0.002380007933359778,1557.9736842105262
david1488,4.849246556133079e-05,0.00019833399444664816,1541.6666666666667
lc777,6.440503440975774e-05,6.611133148221606e-05,1605.0
jordanfury,6.440503440975774e-05,6.611133148221606e-05,1939.0
porquepepe,3.3208270192871235e-05,6.611133148221606e-05,1618.0
gio1212,6.440503440975774e-05,6.611133148221606e-05,1755.0
rubberchicken04,3.3208270192871235e-05,6.611133148221606e-05,1596.0
berejokserg,3.3208270192871235e-05,6.611133148221606e-05,1500.0
trump216bc,3.3208270192871235e-05,6.611133148221606e-05,1461.0
efer003,6.440503440975774e-05,6.611133148221606e-05,1335.0
fcolpo,6.440503440975774e-05,6.611133148221606e-05,1470.0
chesschumpchamp,6.440503440975774e-05,6.611133148221606e-05,1617.0
aminox,3.3208270192871235e-05,6.611133148221606e-05,1207.0
sale0706,9.811937482240673e-05,0.00019833399444664816,1594.3333333333333
redar1,6.440503440975774e-05,6.611133148221606e-05,1855.0
insequitur,3.3208270192871235e-05,0.0001322226629644321,1534.5
tb-123,6.440503440975774e-05,0.0001322226629644321,1724.0
iris_foxspring,6.440503440975774e-05,6.611133148221606e-05,2105.0
zoro55,3.3208270192871235e-05,6.611133148221606e-05,1768.0
geburah,3.3208270192871235e-05,6.611133148221606e-05,1436.0
urmil007,3.3208270192871235e-05,6.611133148221606e-05,1667.0
serai,6.440503440975774e-05,6.611133148221606e-05,1521.0
allahdeweswin,3.3208270192871235e-05,6.611133148221606e-05,1251.0
antoniogallero,7.007177343473566e-05,0.0001322226629644321,1429.0
matheuswillx,3.3208270192871235e-05,6.611133148221606e-05,1512.0
euler_jr,9.560179862664425e-05,6.611133148221606e-05,1597.5
krillnor,6.440503440975774e-05,6.611133148221606e-05,1539.0
hoanghieudro2,3.3208270192871235e-05,6.611133148221606e-05,1413.5
ehabhaddad,6.440503440975774e-05,6.611133148221606e-05,1603.0
gabrielsol,3.3208270192871235e-05,6.611133148221606e-05,1399.0
crushmik,6.440503440975774e-05,6.611133148221606e-05,1877.0
amary33,3.3208270192871235e-05,6.611133148221606e-05,1134.0
remisero,3.3208270192871235e-05,6.611133148221606e-05,1784.0
ryan94,4.092560799212437e-05,0.0001322226629644321,1400.5
hollyandclaws,3.3208270192871235e-05,6.611133148221606e-05,1500.0
lotfibma,6.167532199130125e-05,6.611133148221606e-05,1500.0
ars01,3.3208270192871235e-05,6.611133148221606e-05,1748.0
avelez8,0.00019828540784480397,0.0008594473092688088,1738.6153846153845
salah04,5.691405576516671e-05,6.611133148221606e-05,1942.0
vincenzo2000,3.3208270192871235e-05,6.611133148221606e-05,1855.0
majid_alsalhi,5.691405576516671e-05,6.611133148221606e-05,1951.0
pavankumarg,3.3208270192871235e-05,0.0001322226629644321,1411.0
mrmaccc,7.647910923908758e-05,0.0002644453259288642,1817.5
hopefullman15,3.3208270192871235e-05,6.611133148221606e-05,1597.0
laeca53,7.279266778133146e-05,0.0001322226629644321,1833.5
totoymate,5.691405576516671e-05,6.611133148221606e-05,1721.0
frynoodles,4.3196226782654516e-05,0.0001322226629644321,1474.0
jdalcheco,3.3208270192871235e-05,6.611133148221606e-05,1744.0
yolandoparada,5.691405576516671e-05,6.611133148221606e-05,1631.0
murattibogurcu,5.691405576516671e-05,6.611133148221606e-05,1396.0
cdvh,0.00034735693745752556,0.0006611133148221606,1751.8260869565217
hunecel,0.0001316317699987813,6.611133148221606e-05,1760.0
hafedfree,0.0001316317699987813,6.611133148221606e-05,1729.0
decem,3.3208270192871235e-05,6.611133148221606e-05,1795.0
japcan,6.648650614464009e-05,0.0001322226629644321,1883.6666666666667
raubstein,0.0001316317699987813,6.611133148221606e-05,1721.0
ashishbarda,4.450451366050632e-05,0.00019833399444664816,1874.5
omid163,3.3208270192871235e-05,0.00019833399444664816,1802.5
capito2017,3.3208270192871235e-05,6.611133148221606e-05,1958.0
chess-brahs,0.00025061274317215396,0.0005950019833399445,1988.0
dashy1,3.3208270192871235e-05,6.611133148221606e-05,925.0
mosheaugustyn,3.3208270192871235e-05,6.611133148221606e-05,1244.0
sassou,0.0004317469953708912,0.002049451275948698,1236.967741935484
memoryberat,3.3208270192871235e-05,6.611133148221606e-05,921.0
fatmat,3.3208270192871235e-05,6.611133148221606e-05,1350.0
alpheus23,5.429821305859387e-05,6.611133148221606e-05,1280.0
kapi77,5.429821305859387e-05,6.611133148221606e-05,1341.0
cohiba_313,9.030487590062733e-05,0.0001322226629644321,1443.0
bagelsfu,5.429821305859387e-05,6.611133148221606e-05,1236.0
sabayossi,5.429821305859387e-05,6.611133148221606e-05,1433.0
trelynn17,3.3208270192871235e-05,6.611133148221606e-05,1132.0
maougnassou,3.3208270192871235e-05,6.611133148221606e-05,1308.0
laeufer26,3.3208270192871235e-05,6.611133148221606e-05,1228.0
popsun,5.429821305859387e-05,6.611133148221606e-05,1409.0
mdaboczi,5.429821305859387e-05,6.611133148221606e-05,1338.0
marktop1,3.3208270192871235e-05,6.611133148221606e-05,1336.0
rougethunder,5.429821305859387e-05,6.611133148221606e-05,1316.0
shobik24,3.3208270192871235e-05,6.611133148221606e-05,1253.0
maninayebi,3.3208270192871235e-05,6.611133148221606e-05,1335.0
agilm,3.3208270192871235e-05,6.611133148221606e-05,1189.0
pune123,3.3208270192871235e-05,6.611133148221606e-05,1443.0
failedocean,5.429821305859387e-05,6.611133148221606e-05,1227.0
fastandbulbous420,5.429821305859387e-05,6.611133148221606e-05,1227.0
minimouf,5.429821305859387e-05,0.0001322226629644321,1536.5
goodolddaystr,5.429821305859387e-05,6.611133148221606e-05,1325.0
gonzalogp98,3.3208270192871235e-05,6.611133148221606e-05,1212.0
vladimir_shindin,9.205285704787128e-05,0.0002644453259288642,1500.75
martin74,5.429821305859387e-05,6.611133148221606e-05,1626.0
gotochess,5.429821305859387e-05,6.611133148221606e-05,1191.0
quent0,3.3208270192871235e-05,6.611133148221606e-05,1422.0
dangerflaps,5.429821305859387e-05,6.611133148221606e-05,1186.0
shazzam9999,3.3208270192871235e-05,6.611133148221606e-05,1212.0
chessn00b47,5.429821305859387e-05,6.611133148221606e-05,1343.0
isachess,0.0004917602839861144,0.002380007933359778,1850.888888888889
japonxino,5.6009625073777296e-05,6.611133148221606e-05,1865.0
roshan_ie,3.3208270192871235e-05,6.611133148221606e-05,1852.0
cliff_walker,5.6009625073777296e-05,0.0001322226629644321,1850.5
sergej1956,3.3208270192871235e-05,6.611133148221606e-05,1918.0
pogrib,5.6009625073777296e-05,6.611133148221606e-05,1844.0
tartetatin,3.3208270192871235e-05,6.611133148221606e-05,1774.0
juncinmestrella,0.0007270249300719111,0.0029088985852175064,1823.1063829787233
robinhood76,3.3208270192871235e-05,6.611133148221606e-05,1890.0
tohaimr7,3.3208270192871235e-05,0.0001322226629644321,1795.5
zpectral-chess,5.6009625073777296e-05,6.611133148221606e-05,1828.0
javier_temperley,5.6009625073777296e-05,6.611133148221606e-05,1855.0
jadesummer,5.6009625073777296e-05,0.0001322226629644321,1890.0
borvel,3.3208270192871235e-05,6.611133148221606e-05,1802.0
homayoni,5.6009625073777296e-05,6.611133148221606e-05,1856.0
demetrio50,3.3208270192871235e-05,0.0001322226629644321,1804.5
maxpiz5,5.6009625073777296e-05,6.611133148221606e-05,1806.0
philiveykk,5.6009625073777296e-05,6.611133148221606e-05,1820.0
azcatdave,3.3208270192871235e-05,6.611133148221606e-05,1854.0
fikr,6.380120055569839e-05,0.00019833399444664816,1893.0
samdooley,5.6009625073777296e-05,6.611133148221606e-05,1965.0
nf3isstrong,3.3208270192871235e-05,6.611133148221606e-05,1835.0
dzigibau,5.6009625073777296e-05,6.611133148221606e-05,1860.0
edil1800,5.6009625073777296e-05,6.611133148221606e-05,1849.0
humb,3.3208270192871235e-05,0.0001322226629644321,1795.5
abikhoshnavaz,3.3208270192871235e-05,0.0001322226629644321,1847.0
sakkkakas,3.3208270192871235e-05,6.611133148221606e-05,1846.0
seetripuu,3.3208270192871235e-05,6.611133148221606e-05,1834.0
seif22,6.971361305179421e-05,0.0001322226629644321,1842.5
nicolo97,5.6009625073777296e-05,6.611133148221606e-05,1917.0
tajbo4,5.6009625073777296e-05,0.0001322226629644321,1826.0
nespil,3.3208270192871235e-05,0.0001322226629644321,1833.0
turix,5.6009625073777296e-05,6.611133148221606e-05,1869.0
sergeylobanov,3.3208270192871235e-05,6.611133148221606e-05,1843.0
clown_with_a_knife,3.3208270192871235e-05,6.611133148221606e-05,1800.0
taranga,0.0008060132527409158,0.0028427872537352904,1286.1830065359477
whfo,6.678123833091171e-05,0.0001322226629644321,1267.0
phileasfrog,3.3208270192871235e-05,6.611133148221606e-05,1290.0
patrizio67,6.678123833091171e-05,6.611133148221606e-05,1331.0
piroz_xucestih,0.0001003542064689522,6.611133148221606e-05,1298.5
lelik3310,6.678123833091171e-05,6.611133148221606e-05,1308.0
cesar1945,6.167532199130125e-05,0.0001322226629644321,1295.4
marmoraka5,3.3208270192871235e-05,6.611133148221606e-05,968.0
vikrant_dalvi,6.678123833091171e-05,6.611133148221606e-05,1466.0
xapoh,6.678123833091171e-05,6.611133148221606e-05,1500.0
jamila1234,3.3208270192871235e-05,0.00019833399444664816,1270.8333333333333
hknight_chess,6.678123833091171e-05,6.611133148221606e-05,2108.0
blassterkal,6.678123833091171e-05,0.0001322226629644321,1431.0
striker123,6.678123833091171e-05,0.0001322226629644321,1806.0
yugesh_naidu,3.3208270192871235e-05,6.611133148221606e-05,1311.0
andreas636,6.678123833091171e-05,6.611133148221606e-05,1484.0
armourbuddy,6.678123833091171e-05,6.611133148221606e-05,1810.0
snapper,3.3208270192871235e-05,6.611133148221606e-05,1500.0
